dishid,dishstatus,vendorId,dishname,dishprice
127,FALSE,127,Cgagt,53.27
128,TRUE,128,Blfdb,3.45
129,FALSE,129,Mxgfh,31.64
130,FALSE,130,Imrlu,83.47
131,FALSE,131,Ehhpa,92.65
132,TRUE,132,Nqamy,58.46
133,TRUE,133,Hnmph,33.6
134,FALSE,134,Cqvtb,53.36
135,TRUE,135,Piuzy,6.02
136,FALSE,136,Rjqbf,61.84
137,TRUE,137,Urdci,21.29
138,TRUE,138,Iardc,19.52
139,FALSE,139,Rerdx,36.78
140,TRUE,140,Lpmbv,57.83
141,TRUE,141,Spgwl,98.17
142,FALSE,142,Zixhr,88.06
143,TRUE,143,Jpgzp,26.46
144,TRUE,144,Jvoov,95.85
145,FALSE,145,Jcqpp,14.01
146,FALSE,146,Mnnjb,19.32
147,FALSE,147,Kvzed,58.74
148,FALSE,148,Jykeo,36.57
149,FALSE,149,Rdhew,69.16
150,FALSE,150,Nftym,91.99
151,TRUE,151,Dubtq,48.3
152,TRUE,152,Kggwu,94.4
153,FALSE,153,Hdcfi,95.45
154,TRUE,154,Pmveb,79.81
155,TRUE,155,Nruwy,18.43
156,TRUE,156,Jsctb,52.08
157,FALSE,157,Tdfkz,79.35
158,TRUE,158,Ixgso,62.16
159,FALSE,159,Sqmvp,40.84
160,TRUE,160,Skhjv,37.89
161,FALSE,161,Kvabh,40.32
162,FALSE,162,Fhfzi,73.04
163,TRUE,163,Ngqfl,6.74
164,FALSE,164,Nbful,9.5
165,FALSE,165,Gldat,40.96
166,FALSE,166,Hzbma,47.95
167,FALSE,167,Qhnfu,7.24
168,TRUE,168,Flwdb,28.5
169,TRUE,169,Lnprw,28.14
170,TRUE,170,Hanur,90.78
171,TRUE,171,Sqjdj,85.42
172,FALSE,172,Ycxhg,46.52
173,FALSE,173,Prjjv,34.86
174,FALSE,174,Yjuea,7.86
175,TRUE,175,Lsvwa,71.23
176,TRUE,176,Inwjm,10.5
177,FALSE,177,Nnfbn,13.18
178,FALSE,178,Wldfx,63.54
179,FALSE,179,Ahimb,0.3
180,TRUE,180,Aqfvv,0.3
181,TRUE,181,Cguvz,39.03
182,TRUE,182,Qznoc,44.95
183,FALSE,183,Bqcpr,18.14
184,TRUE,184,Rbsuy,67.38
185,FALSE,185,Dxreg,28.86
186,FALSE,186,Jgllb,16.16
187,FALSE,187,Omdiy,40.02
188,FALSE,188,Hywil,54.65
189,FALSE,189,Juppv,76.7
190,FALSE,190,Pwfgu,79.63
191,TRUE,191,Upcnf,30.89
192,FALSE,192,Ygcot,29.11
193,TRUE,193,Ehjll,33.58
194,TRUE,194,Xnkqt,80.95
195,FALSE,195,Leecv,71.04
196,TRUE,196,Eptnv,13.9
197,TRUE,197,Rpghz,67.82
198,TRUE,198,Ncsjy,58.97
199,TRUE,199,Knqcx,33.14
200,FALSE,200,Zflvu,0.06
