orderid,customerId,vendorId,datecreated,ordertotal,driverid,deliverytype,orderstatus
44,44,44,5/18/20,636.69,44,PICKUP,NOT FULFILLED
45,45,45,4/27/20,824.16,45,PICKUP,NOT FULFILLED
46,46,46,5/4/20,162.56,46,PICKUP,NOT FULFILLED
47,47,47,5/5/20,842.21,47,PICKUP,NOT FULFILLED
48,48,48,5/6/20,311.35,48,PICKUP,NOT FULFILLED
49,49,49,5/8/20,973.34,49,PICKUP,NOT FULFILLED
50,50,50,4/24/20,679.51,50,PICKUP,NOT FULFILLED
51,51,51,5/11/20,344.27,51,PICKUP,NOT FULFILLED
52,52,52,5/9/20,228.86,52,PICKUP,NOT FULFILLED
53,53,53,5/17/20,83.57,53,PICKUP,NOT FULFILLED
54,54,54,5/19/20,740.47,54,PICKUP,NOT FULFILLED
55,55,55,5/16/20,4.37,55,PICKUP,NOT FULFILLED
56,56,56,5/11/20,616.96,56,PICKUP,NOT FULFILLED
57,57,57,5/19/20,539.86,57,PICKUP,NOT FULFILLED
58,58,58,5/8/20,662.39,58,PICKUP,NOT FULFILLED
59,59,59,4/30/20,936.29,59,PICKUP,NOT FULFILLED
60,60,60,4/29/20,572.63,60,PICKUP,NOT FULFILLED
61,61,61,5/4/20,263.7,61,PICKUP,NOT FULFILLED
62,62,62,5/4/20,983.29,62,PICKUP,NOT FULFILLED
63,63,63,4/22/20,988.1,63,PICKUP,NOT FULFILLED
64,64,64,5/5/20,55.68,64,PICKUP,FULFILLED
65,65,65,5/13/20,100.85,65,PICKUP,FULFILLED
66,66,66,4/29/20,699.77,66,DELIVERY,FULFILLED
67,67,67,4/28/20,597.84,67,DELIVERY,FULFILLED
68,68,68,5/6/20,703.13,68,DELIVERY,FULFILLED
69,69,69,5/16/20,729.24,69,DELIVERY,FULFILLED
70,70,70,5/2/20,364.44,70,DELIVERY,FULFILLED
71,71,71,4/28/20,181.19,71,DELIVERY,FULFILLED
72,72,72,4/29/20,542.98,72,DELIVERY,FULFILLED
73,73,73,5/18/20,502.28,73,DELIVERY,FULFILLED
74,74,74,5/15/20,465.35,74,DELIVERY,FULFILLED
75,75,75,5/12/20,688.39,75,DELIVERY,FULFILLED
76,76,76,4/26/20,640.1,76,DELIVERY,FULFILLED
77,77,77,4/22/20,271.55,77,DELIVERY,FULFILLED
78,78,78,5/5/20,750.53,78,DELIVERY,FULFILLED
79,79,79,5/7/20,655.65,79,DELIVERY,FULFILLED
80,80,80,5/11/20,586.13,80,DELIVERY,FULFILLED
81,81,81,4/22/20,508.38,81,DELIVERY,FULFILLED
82,82,82,5/12/20,253.49,82,DELIVERY,FULFILLED
83,83,83,5/3/20,897.83,83,DELIVERY,FULFILLED
84,84,84,4/23/20,836.11,84,DELIVERY,FULFILLED
85,85,85,4/29/20,994.28,85,DELIVERY,FULFILLED
86,86,86,5/4/20,317.58,86,DELIVERY,FULFILLED
87,87,87,5/15/20,152.18,87,DELIVERY,FULFILLED
88,88,88,5/1/20,580.31,88,DELIVERY,FULFILLED
89,89,89,5/3/20,953.19,89,DELIVERY,FULFILLED
90,90,90,5/10/20,236.89,90,DELIVERY,FULFILLED
91,91,91,4/25/20,369.5,91,DELIVERY,NOT FULFILLED
92,92,92,5/11/20,376.09,92,DELIVERY,NOT FULFILLED
93,93,93,5/15/20,849.7,93,DELIVERY,NOT FULFILLED
94,94,94,5/7/20,991.38,94,DELIVERY,NOT FULFILLED
95,95,95,4/28/20,702.93,95,DELIVERY,NOT FULFILLED
96,96,96,5/15/20,125.09,96,DELIVERY,NOT FULFILLED
97,97,97,5/20/20,663.17,97,DELIVERY,NOT FULFILLED
98,98,98,5/20/20,712.34,98,DELIVERY,NOT FULFILLED
99,99,99,4/24/20,672.62,99,DELIVERY,NOT FULFILLED
100,100,100,4/29/20,685.07,100,DELIVERY,NOT FULFILLED
101,101,101,4/29/20,972.64,101,DELIVERY,NOT FULFILLED
102,102,102,5/19/20,523.19,102,DELIVERY,NOT FULFILLED
103,103,103,4/26/20,598.38,103,DELIVERY,NOT FULFILLED
104,104,104,4/27/20,622.88,104,DELIVERY,NOT FULFILLED
105,105,105,5/4/20,965.65,105,PICKUP,NOT FULFILLED
106,106,106,4/25/20,970.1,106,PICKUP,NOT FULFILLED
107,107,107,5/17/20,294.5,107,PICKUP,NOT FULFILLED
108,108,108,5/6/20,362.39,108,PICKUP,NOT FULFILLED
109,109,109,5/16/20,130.2,109,PICKUP,NOT FULFILLED
110,110,110,4/27/20,5.71,110,PICKUP,NOT FULFILLED
111,111,111,5/6/20,536.46,111,PICKUP,NOT FULFILLED
112,112,112,4/26/20,110.74,112,PICKUP,NOT FULFILLED
113,113,113,5/21/20,111.9,113,PICKUP,NOT FULFILLED
114,114,114,5/13/20,918.24,114,PICKUP,NOT FULFILLED
115,115,115,4/26/20,959.94,115,PICKUP,NOT FULFILLED
116,116,116,4/22/20,308.47,116,PICKUP,NOT FULFILLED
117,117,117,4/23/20,60.23,117,PICKUP,NOT FULFILLED
118,118,118,5/7/20,734.08,118,PICKUP,NOT FULFILLED
119,119,119,5/12/20,732.7,119,PICKUP,NOT FULFILLED
120,120,120,5/9/20,122.15,120,PICKUP,NOT FULFILLED
121,121,121,4/24/20,48.95,121,PICKUP,NOT FULFILLED
122,122,122,5/16/20,514.54,122,PICKUP,NOT FULFILLED
123,123,123,4/26/20,515.29,123,PICKUP,NOT FULFILLED
124,124,124,5/13/20,956.65,124,PICKUP,NOT FULFILLED
125,125,125,5/17/20,31.12,125,PICKUP,NOT FULFILLED
126,126,126,5/4/20,696.05,126,PICKUP,NOT FULFILLED
127,127,127,4/26/20,463.66,127,PICKUP,NOT FULFILLED
128,128,128,5/12/20,433.92,128,PICKUP,NOT FULFILLED
129,129,129,5/7/20,755.94,129,PICKUP,NOT FULFILLED
130,130,130,5/20/20,669.25,130,PICKUP,NOT FULFILLED
131,131,131,5/14/20,773.58,131,PICKUP,NOT FULFILLED
132,132,132,5/8/20,409.87,132,PICKUP,NOT FULFILLED
133,133,133,5/20/20,799,133,PICKUP,NOT FULFILLED
134,134,134,4/25/20,92.42,134,DELIVERY,NOT FULFILLED
135,135,135,5/2/20,881.85,135,DELIVERY,NOT FULFILLED
136,136,136,5/19/20,307.67,136,DELIVERY,NOT FULFILLED
137,137,137,5/2/20,597.75,137,DELIVERY,NOT FULFILLED
138,138,138,5/20/20,334.37,138,DELIVERY,NOT FULFILLED
139,139,139,5/16/20,62.98,139,DELIVERY,NOT FULFILLED
140,140,140,4/26/20,101.49,140,DELIVERY,NOT FULFILLED
141,141,141,4/26/20,360.35,141,DELIVERY,NOT FULFILLED
142,142,142,5/15/20,415.52,142,DELIVERY,NOT FULFILLED
143,143,143,5/18/20,896.37,143,DELIVERY,NOT FULFILLED
144,144,144,5/18/20,800.1,144,DELIVERY,NOT FULFILLED
145,145,145,5/8/20,189.54,145,DELIVERY,NOT FULFILLED
146,146,146,4/23/20,663.8,146,DELIVERY,NOT FULFILLED
147,147,147,4/23/20,905.01,147,DELIVERY,NOT FULFILLED
148,148,148,5/20/20,634.62,148,DELIVERY,NOT FULFILLED
149,149,149,5/1/20,540.55,149,DELIVERY,NOT FULFILLED
150,150,150,5/16/20,328.65,150,DELIVERY,NOT FULFILLED
151,151,151,5/21/20,244.07,151,DELIVERY,NOT FULFILLED
152,152,152,4/22/20,355.82,152,DELIVERY,NOT FULFILLED
153,153,153,5/2/20,781.5,153,DELIVERY,NOT FULFILLED
154,154,154,5/15/20,785.53,154,DELIVERY,NOT FULFILLED
155,155,155,5/21/20,436.76,155,DELIVERY,NOT FULFILLED
156,156,156,5/18/20,162.52,156,DELIVERY,NOT FULFILLED
157,157,157,5/12/20,273.74,157,DELIVERY,NOT FULFILLED
158,158,158,4/24/20,756.33,158,DELIVERY,NOT FULFILLED
159,159,159,5/18/20,500.1,159,DELIVERY,NOT FULFILLED
160,160,160,5/5/20,53.44,160,DELIVERY,NOT FULFILLED
161,161,161,5/17/20,51.17,161,DELIVERY,NOT FULFILLED
162,162,162,4/29/20,656.69,162,DELIVERY,NOT FULFILLED
163,163,163,4/24/20,42.55,163,DELIVERY,NOT FULFILLED
164,164,164,5/13/20,603.2,164,DELIVERY,NOT FULFILLED
165,165,165,4/23/20,936.42,165,DELIVERY,NOT FULFILLED
166,166,166,4/22/20,926.88,166,DELIVERY,NOT FULFILLED
167,167,167,5/16/20,314.39,167,DELIVERY,NOT FULFILLED
168,168,168,5/17/20,914.24,168,DELIVERY,NOT FULFILLED
169,169,169,5/18/20,504.8,169,DELIVERY,NOT FULFILLED
170,170,170,5/6/20,650.63,170,DELIVERY,NOT FULFILLED
171,171,171,5/14/20,955.99,171,DELIVERY,NOT FULFILLED
172,172,172,5/15/20,963.83,172,DELIVERY,NOT FULFILLED
173,173,173,5/5/20,781.6,173,DELIVERY,NOT FULFILLED
174,174,174,4/26/20,504.71,174,DELIVERY,NOT FULFILLED
175,175,175,4/25/20,573.79,175,DELIVERY,NOT FULFILLED
176,176,176,5/17/20,3.72,176,DELIVERY,NOT FULFILLED
177,177,177,4/30/20,921.13,177,DELIVERY,NOT FULFILLED
178,178,178,5/14/20,101.79,178,DELIVERY,NOT FULFILLED
179,179,179,4/24/20,965.97,179,DELIVERY,NOT FULFILLED
180,180,180,5/11/20,387.64,180,DELIVERY,NOT FULFILLED
181,181,181,4/24/20,932.46,181,DELIVERY,NOT FULFILLED
182,182,182,5/12/20,376.03,182,DELIVERY,NOT FULFILLED
183,183,183,5/3/20,567.35,183,DELIVERY,NOT FULFILLED
184,184,184,5/5/20,55.41,184,DELIVERY,NOT FULFILLED
185,185,185,4/28/20,730.03,185,DELIVERY,NOT FULFILLED
186,186,186,5/4/20,239.67,186,DELIVERY,NOT FULFILLED
187,187,187,5/16/20,806.98,187,DELIVERY,NOT FULFILLED
188,188,188,5/4/20,185.8,188,DELIVERY,NOT FULFILLED
189,189,189,5/1/20,494.15,189,DELIVERY,NOT FULFILLED
190,190,190,5/8/20,602.43,190,DELIVERY,NOT FULFILLED
191,191,191,5/3/20,301.67,191,DELIVERY,FULFILLED
192,192,192,4/25/20,792.77,192,DELIVERY,FULFILLED
193,193,193,5/7/20,3.73,193,DELIVERY,FULFILLED
194,194,194,4/29/20,565.06,194,DELIVERY,FULFILLED
195,195,195,5/10/20,915.81,195,DELIVERY,FULFILLED
196,196,196,5/3/20,223.42,196,DELIVERY,FULFILLED
197,197,197,5/8/20,94.77,197,DELIVERY,FULFILLED
198,198,198,5/10/20,547.31,198,DELIVERY,FULFILLED
199,199,199,4/30/20,989.2,199,DELIVERY,FULFILLED
200,200,200,5/5/20,480.67,200,DELIVERY,FULFILLED
